Date,InputTime,DayHigh,DayLow,isDayHighBreak,isDayLowBreak,isItComesToStartingPointForTheHigh,isItComesToStartingPointForTheLow,CurrentPrice,ClosingPrice
2010-03-02,13:00,8911.25,8858.40,True,False,True,False,8888.20,8945.60
2010-03-03,13:00,9028.30,8968.35,True,False,True,False,9016.85,9044.35
2010-03-04,13:00,9068.95,8990.00,False,True,False,True,9003.95,9012.85
2010-03-05,13:00,9095.30,8968.60,False,True,False,True,8982.20,9038.45
2010-03-08,13:00,9178.55,9093.45,False,False,False,False,9163.20,9145.30
2010-03-09,13:00,9149.25,9073.50,True,False,True,False,9123.55,9119.85
2010-03-10,13:00,9156.00,9090.80,False,True,False,True,9097.30,9108.65
2010-03-11,13:00,9160.80,9087.35,True,False,True,False,9157.65,9211.45
2010-03-12,13:00,9229.15,9152.05,False,True,False,True,9167.50,9164.70
2010-03-15,13:00,9113.70,9056.15,True,False,True,False,9099.60,9088.70
2010-03-16,13:00,9051.45,8986.75,True,False,True,False,9003.65,9112.20
2010-03-17,13:00,9214.55,9146.55,True,False,True,False,9191.50,9182.85
2010-03-18,13:00,9244.60,9172.05,True,False,True,False,9217.35,9279.40
2010-03-19,13:00,9275.65,9231.90,True,False,True,False,9247.85,9261.80
2010-03-22,13:00,9238.90,9143.55,True,False,True,False,9210.45,9182.30
2010-03-23,13:00,9251.80,9178.90,False,True,False,True,9198.00,9225.25
2010-03-25,13:00,9213.30,9165.50,True,False,True,False,9204.10,9309.80
2010-03-26,13:00,9381.65,9326.55,True,False,True,False,9359.00,9449.40
2010-03-29,13:00,9542.65,9466.45,True,False,True,False,9535.80,9529.00
2010-03-30,13:00,9587.65,9533.95,False,True,False,True,9568.70,9475.45
2010-03-31,13:00,9537.45,9440.35,False,False,False,False,9488.05,9466.70
2010-04-01,13:00,9510.85,9445.55,True,False,True,False,9490.25,9511.10
2010-04-05,13:00,9635.65,9582.00,True,False,True,False,9602.35,9695.75
2010-04-06,13:00,9772.40,9674.10,False,False,False,False,9739.90,9733.00
2010-04-07,13:00,9793.20,9698.40,False,True,False,True,9699.20,9683.00
2010-04-08,13:00,9659.55,9570.95,False,True,False,True,9582.05,9494.00
2010-04-09,13:00,9676.45,9545.30,True,False,True,False,9665.20,9660.60
2010-04-12,13:00,9637.35,9568.15,False,True,False,True,9619.90,9580.40
2010-04-13,13:00,9528.55,9468.90,False,True,False,True,9481.35,9489.95
2010-04-15,13:00,9541.10,9427.75,False,True,False,True,9434.70,9344.00
2010-04-16,13:00,9410.15,9266.15,False,False,False,False,9365.55,9339.00
2010-04-19,13:00,9301.85,9206.00,True,False,True,False,9297.70,9299.95
2010-04-20,13:00,9501.85,9324.30,False,False,False,False,9479.05,9448.85
2010-04-21,13:00,9574.55,9527.20,False,True,False,True,9537.30,9547.45
2010-04-22,13:00,9665.15,9501.15,True,False,True,False,9659.15,9594.40
2010-04-23,13:00,9783.05,9693.60,True,False,True,False,9761.20,9816.55
2010-04-26,13:00,9911.80,9830.75,False,True,False,True,9855.15,9837.25
2010-04-27,13:00,9815.05,9753.40,False,True,False,True,9770.80,9751.35
2010-04-28,13:00,9723.35,9641.70,False,True,False,True,9710.85,9641.05
2010-04-29,13:00,9744.35,9684.95,True,False,True,False,9709.65,9809.95
2010-04-30,13:00,9923.15,9869.60,False,True,False,True,9880.05,9862.10
2010-05-03,13:00,9863.45,9760.60,False,True,False,True,9771.25,9790.25
2010-05-04,13:00,9837.70,9760.70,False,True,False,True,9783.85,9616.30
2010-05-05,13:00,9557.95,9454.75,True,False,True,False,9511.65,9598.05
2010-05-06,13:00,9603.65,9449.75,True,False,True,False,9510.50,9576.45
2010-05-07,13:00,9433.45,9239.80,False,False,False,False,9304.35,9280.25
2010-05-10,13:00,9583.90,9411.30,True,False,True,False,9564.60,9675.45
2010-05-11,13:00,9733.80,9593.55,False,False,False,False,9624.95,9627.05
2010-05-12,13:00,9686.25,9587.10,True,False,True,False,9630.45,9722.30
2010-05-13,13:00,9849.05,9795.95,False,True,False,True,9825.15,9775.05
2010-05-14,13:00,9762.15,9683.35,False,True,False,True,9719.05,9550.50
2010-05-17,13:00,9420.75,9303.75,True,False,True,False,9402.75,9533.05
2010-05-18,13:00,9555.40,9430.70,True,False,True,False,9549.05,9492.80
2010-05-19,13:00,9344.15,9257.60,False,True,False,True,9302.80,9128.55
2010-05-20,13:00,9204.30,9108.20,True,False,True,False,9187.95,9201.75
2010-05-21,13:00,9174.90,8983.70,False,False,False,False,9106.95,9134.05
2010-05-24,13:00,9286.65,9212.70,False,True,False,True,9271.75,9050.85
2010-05-25,13:00,8972.05,8876.55,False,True,False,True,8907.90,8850.85
2010-05-26,13:00,9033.05,8924.35,True,False,True,False,8926.50,9027.35
2010-05-27,13:00,9109.55,8957.55,True,False,True,False,9083.50,9268.40
2010-05-28,13:00,9345.00,9215.60,False,False,False,False,9242.90,9301.20
2010-05-31,13:00,9369.10,9257.65,True,False,True,False,9315.30,9362.30
2010-06-01,13:00,9330.45,9180.95,False,True,False,True,9183.90,9109.95
2010-06-02,13:00,9162.75,9083.65,True,False,True,False,9150.75,9206.35
2010-06-03,13:00,9391.80,9312.40,True,False,True,False,9371.40,9376.55
2010-06-04,13:00,9468.20,9365.55,True,False,True,False,9458.85,9448.10
2010-06-07,13:00,9287.80,9211.55,True,False,True,False,9279.35,9293.55
2010-06-08,13:00,9387.10,9338.30,False,True,False,True,9340.50,9187.35
2010-06-09,13:00,9336.45,9221.75,True,True,True,True,9333.60,9250.45
2010-06-10,13:00,9295.65,9227.90,True,False,True,False,9239.50,9347.25
2010-06-11,13:00,9462.85,9404.70,True,True,True,True,9422.50,9452.40
2010-06-14,13:00,9545.30,9490.65,True,True,True,True,9505.00,9530.00
2010-06-15,13:00,9515.30,9422.95,True,False,True,False,9485.10,9550.80
2010-06-16,13:00,9615.45,9543.00,False,True,False,True,9560.85,9579.75
2010-06-17,13:00,9607.55,9446.30,True,False,True,False,9509.90,9602.55
2010-06-18,13:00,9611.55,9544.30,False,False,False,False,9574.60,9567.70
2010-06-21,13:00,9793.15,9672.95,False,False,False,False,9773.10,9752.65
2010-06-22,13:00,9761.95,9706.75,False,True,False,True,9729.10,9676.35
2010-06-23,13:00,9725.40,9640.35,True,False,True,False,9702.45,9734.45
2010-06-24,13:00,9731.50,9693.75,False,True,False,False,9694.95,9657.75
2010-06-25,13:00,9603.30,9536.35,True,True,True,True,9580.05,9439.35
2010-06-28,13:00,9497.85,9436.75,True,False,True,False,9472.55,9546.50
2010-06-29,13:00,9510.35,9413.05,False,True,False,True,9428.25,9369.30
2010-06-30,13:00,9424.40,9362.90,True,True,True,True,9407.50,9484.75
2010-07-01,13:00,9383.75,9303.05,False,False,False,False,9309.95,9351.55
2010-07-02,13:00,9410.30,9330.30,False,False,False,False,9365.30,9337.30
2010-07-05,13:00,9415.85,9346.50,False,False,False,False,9412.45,9388.65
2010-07-06,13:00,9478.90,9390.10,True,False,True,False,9475.15,9541.70
2010-07-07,13:00,9503.55,9455.05,False,True,False,True,9469.75,9449.30
2010-07-08,13:00,9615.15,9551.80,False,False,False,False,9596.00,9562.70
2010-07-09,13:00,9681.30,9627.55,True,False,True,False,9665.10,9716.35
2010-07-12,13:00,9823.45,9756.75,True,False,True,False,9817.10,9843.70
2010-07-13,13:00,9897.85,9821.05,True,False,True,False,9867.70,9938.80
2010-07-14,13:00,10061.95,9981.00,False,True,False,True,10000.00,9950.60
2010-07-15,13:00,9983.15,9885.55,False,False,False,False,9900.15,9934.60
2010-07-16,13:00,10026.25,9941.70,False,False,False,False,10022.30,10013.55
2010-07-19,13:00,10078.40,9993.10,False,False,False,False,10019.95,10041.50
2010-07-20,13:00,10079.35,10027.95,False,True,False,True,10038.40,9961.55
2010-07-21,13:00,10007.80,9958.35,False,True,False,True,9972.35,9978.50
2010-07-22,13:00,9963.80,9914.85,True,False,True,False,9942.50,10059.30
2010-07-23,13:00,10120.15,10034.45,False,False,False,False,10076.90,10098.50
2010-07-26,13:00,10084.30,10033.45,False,True,False,True,10037.75,10034.80
2010-07-27,13:00,10089.10,9951.55,True,False,True,False,10073.50,10082.60
2010-07-28,13:00,10117.00,10052.75,False,True,False,True,10081.15,10076.10
2010-07-29,13:00,10114.90,10045.50,True,False,True,False,10081.20,10180.45
2010-07-30,13:00,10243.90,10126.00,False,False,False,False,10209.85,10159.00
2010-08-02,13:00,10359.35,10290.70,True,False,True,False,10349.25,10430.15
2010-08-03,13:00,10542.90,10467.90,False,False,False,False,10501.70,10493.70
