Date,InputTime,DayHigh,DayLow,isDayHighBreak,isDayLowBreak,isItComesToStartingPointForTheHigh,isItComesToStartingPointForTheLow,CurrentPrice,ClosingPrice
2012-01-02,13:00,4645.95,4588.05,False,False,False,False,4607.65,4638.75
2012-01-03,13:00,4743.55,4676.40,True,False,True,False,4738.35,4759.90
2012-01-04,13:00,4780.55,4733.05,True,True,True,True,4742.10,4744.40
2012-01-05,13:00,4779.10,4745.50,True,True,True,True,4775.30,4747.05
2012-01-06,13:00,4740.50,4686.85,True,False,True,False,4701.00,4761.40
2012-01-07,13:00,4759.40,4743.05,False,False,False,False,4746.90,4746.90
2012-01-09,13:00,4743.90,4695.45,True,False,True,False,4729.50,4745.45
2012-01-10,13:00,4833.15,4768.25,True,False,True,False,4822.25,4851.45
2012-01-11,13:00,4877.20,4841.60,False,False,False,False,4860.70,4861.30
2012-01-12,13:00,4869.00,4803.90,False,False,False,False,4813.10,4838.90
2012-01-13,13:00,4879.60,4834.20,True,False,True,False,4877.80,4869.65
2012-01-16,13:00,4858.95,4827.05,True,False,True,False,4854.75,4879.45
2012-01-17,13:00,4959.90,4904.00,True,False,True,False,4958.20,4961.40
2012-01-18,13:00,4980.65,4939.95,False,True,False,True,4953.90,4951.10
2012-01-19,13:00,5014.85,4991.40,True,False,True,False,5001.05,5013.95
2012-01-20,13:00,5054.50,5025.30,True,True,True,True,5042.95,5046.80
2012-01-23,13:00,5059.55,5021.35,False,False,False,False,5038.15,5043.35
2012-01-24,13:00,5141.05,5049.80,False,False,False,False,5132.15,5116.80
2012-01-25,13:00,5167.35,5130.25,True,False,True,False,5158.10,5152.55
2012-01-27,13:00,5217.00,5162.40,False,False,False,False,5185.60,5201.70
2012-01-30,13:00,5166.15,5116.95,False,True,False,True,5117.30,5081.30
2012-01-31,13:00,5158.25,5120.15,True,False,True,False,5154.30,5203.05
2012-02-01,13:00,5198.35,5159.00,True,False,True,False,5178.15,5239.95
2012-02-02,13:00,5289.95,5225.75,False,False,False,False,5277.20,5265.65
2012-02-03,13:00,5279.95,5255.55,True,False,True,False,5274.55,5317.80
2012-02-06,13:00,5390.05,5344.35,False,True,False,True,5369.35,5362.55
2012-02-07,13:00,5413.35,5356.35,False,True,False,True,5368.25,5335.55
2012-02-08,13:00,5388.70,5335.75,True,True,True,True,5367.35,5371.45
2012-02-09,13:00,5367.30,5338.90,True,False,True,False,5364.15,5420.15
2012-02-10,13:00,5427.75,5369.65,False,True,False,True,5379.80,5371.05
